"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"WFDC10B","  1","168"," 15","263","0.0169152027733778","0.568788007759108"
"WFDC12","  3","166","  5","273","0.999999999999998","1"
"WFDC2","  2","167","  3","275","1","1"
"WFDC6","  5","164","  5","273","0.635227473323277","1"
"WFDC8","  5","164"," 15","263","0.330729705849002","0.987943793141786"
"WFDC9","  3","166","  8","270","0.67829183294966","1"
"WFIKKN1","  1","168","  0","278","0.801257783137453","1"
"WFIKKN2","  3","166"," 19","259","0.0298302973950501","0.641621884451483"
"WFS1","  2","167","  8","270","0.398256320216477","1"
"WHAMM","  1","168","  1","277","1","1"
"WHSC1","  2","167"," 12","266","0.117790639195719","0.806715694828861"
"WHSC1L1","  1","168","  6","272","0.367718773581616","1"
"WI2-3308P17.2","  4","165"," 24","254","0.0142890618565733","0.568788007759108"
"WIBG","  3","166","  1","277","0.306295342264503","0.967317341596016"
"WIF1","  3","166"," 12","266","0.239607074950008","0.949148852110599"
"WIPF1","  6","163","  6","272","0.561105388136041","1"
"WIPF2","  6","163","  5","273","0.398457449389689","1"
"WIPF3","  1","168","  5","273","0.514815337354971","1"
"WIPI2","  2","167","  4","274","0.999999999999998","1"
