"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"LRRC31"," 3","104"," 3","168","0.871530895456888","1"
"LRRC32"," 6","101"," 1","170","0.0272817440165634","1"
"LRRC36"," 4","103"," 3","168","0.52612126455169","1"
"LRRC37A2"," 2","105"," 1","170","0.680353679627556","1"
"LRRC37A3"," 5","102"," 4","167","0.470610920420767","1"
"LRRC37A4P"," 1","106"," 0","171","0.812659244996201","1"
"LRRC37B"," 5","102"," 3","168","0.294814949816856","1"
"LRRC37BP1"," 2","105"," 0","171","0.286865559264561","1"
"LRRC39"," 1","106"," 0","171","0.812659244996201","1"
"LRRC3B"," 4","103"," 5","166","0.980013824497191","1"
"LRRC4"," 7","100"," 8","163","0.691792007826165","1"
"LRRC40"," 1","106"," 1","170","0.999999999999998","1"
"LRRC41"," 5","102"," 3","168","0.294814949816856","1"
"LRRC43"," 6","101"," 1","170","0.0272817440165634","1"
"LRRC45"," 4","103"," 1","170","0.143932341229931","1"
"LRRC46"," 3","104"," 1","170","0.320164865085647","1"
"LRRC47"," 2","105"," 2","169","0.999999999999998","1"
"LRRC48"," 3","104"," 0","171","0.108492141381498","1"
"LRRC49"," 3","104"," 1","170","0.320164865085647","1"
"LRRC4B","11"," 96"," 6","165","0.0417961988218541","1"
"LRRC4C"," 3","104"," 1","170","0.320164865085647","1"
"LRRC52"," 4","103"," 8","163","0.942604222483727","1"
"LRRC55"," 5","102"," 2","169","0.155403873458458","1"
"LRRC59"," 2","105"," 0","171","0.286865559264561","1"
"LRRC6"," 3","104"," 3","168","0.871530895456888","1"
"LRRC66"," 3","104"," 3","168","0.871530895456888","1"
"LRRC7"," 8"," 99","11","160","0.927197680781048","1"
"LRRC73"," 1","106"," 3","168","0.967330798322832","1"
"LRRC74A"," 1","106"," 1","170","0.999999999999998","1"
"LRRC75A"," 1","106"," 0","171","0.812659244996201","1"
"LRRC75B"," 1","106"," 0","171","0.812659244996201","1"
"LRRC8A"," 5","102"," 4","167","0.470610920420767","1"
"LRRC8B"," 4","103"," 4","167","0.756327580501328","1"
"LRRC8D"," 5","102"," 3","168","0.294814949816856","1"
"LRRC8E"," 3","104"," 5","166","0.999999999999999","1"
"LRRCC1"," 8"," 99"," 3","168","0.038902185841299","1"
"LRRFIP1"," 2","105"," 1","170","0.680353679627556","1"
"LRRFIP1P1"," 1","106"," 3","168","0.967330798322832","1"
"LRRFIP2"," 3","104"," 2","169","0.593473499958091","1"
"LRRIQ1","10"," 97"," 8","163","0.197643037055168","1"
"LRRIQ3"," 6","101"," 6","165","0.592979145315639","1"
"LRRIQ4"," 1","106"," 0","171","0.812659244996201","1"
"LRRK1"," 6","101"," 7","164","0.771959779447237","1"
"LRRK2","19"," 88","25","146","0.597200938116794","1"
"LRRN1"," 3","104"," 4","167","0.999999999999997","1"
"LRRN2"," 8"," 99"," 2","169","0.0156599187921583","1"
"LRRN3"," 8"," 99","10","161","0.774504273919845","1"
"LRRN4"," 4","103"," 6","165","0.999999999999996","1"
"LRRN4CL"," 4","103"," 0","171","0.0424384823215139","1"
"LRRTM1"," 8"," 99"," 4","167","0.0805392474924275","1"
"LRRTM2"," 2","105"," 1","170","0.680353679627556","1"
"LRRTM3"," 3","104"," 8","163","0.642653358310553","1"
"LRRTM4"," 7","100"," 6","165","0.382315802619587","1"
"LRSAM1"," 4","103"," 2","169","0.312518692037205","1"
